entidad,ano,electricidadSolar,electricidadSolarTWh,capacidadSolar,EquivalentePrimarioDeEnergiaSolar
Colombia,1965,0.0,0.0,0.0,0.0
Colombia,1966,0.0,0.0,0.0,0.0
Colombia,1967,0.0,0.0,0.0,0.0
Colombia,1968,0.0,0.0,0.0,0.0
Colombia,1969,0.0,0.0,0.0,0.0
Colombia,1970,0.0,0.0,0.0,0.0
Colombia,1971,0.0,0.0,0.0,0.0
Colombia,1972,0.0,0.0,0.0,0.0
Colombia,1973,0.0,0.0,0.0,0.0
Colombia,1974,0.0,0.0,0.0,0.0
Colombia,1975,0.0,0.0,0.0,0.0
Colombia,1976,0.0,0.0,0.0,0.0
Colombia,1977,0.0,0.0,0.0,0.0
Colombia,1978,0.0,0.0,0.0,0.0
Colombia,1979,0.0,0.0,0.0,0.0
Colombia,1980,0.0,0.0,0.0,0.0
Colombia,1981,0.0,0.0,0.0,0.0
Colombia,1982,0.0,0.0,0.0,0.0
Colombia,1983,0.0,0.0,0.0,0.0
Colombia,1984,0.0,0.0,0.0,0.0
Colombia,1985,0.0,0.0,0.0,0.0
Colombia,1986,0.0,0.0,0.0,0.0
Colombia,1987,0.0,0.0,0.0,0.0
Colombia,1988,0.0,0.0,0.0,0.0
Colombia,1989,0.0,0.0,0.0,0.0
Colombia,1990,0.0,0.0,0.0,0.0
Colombia,1991,0.0,0.0,0.0,0.0
Colombia,1992,0.0,0.0,0.0,0.0
Colombia,1993,0.0,0.0,0.0,0.0
Colombia,1994,0.0,0.0,0.0,0.0
Colombia,1995,0.0,0.0,0.0,0.0
Colombia,1996,0.0,0.0,0.0,0.0
Colombia,1997,0.0,0.0,0.0,0.0
Colombia,1998,0.0,0.0,0.0,0.0
Colombia,1999,0.0,0.0,0.0,0.0
Colombia,2000,0.0237023,0.01,0.0,0.0017268311
Colombia,2001,0.023551578,0.01,0.0,0.0025363106
Colombia,2002,0.022691173,0.01,0.0,0.004408642
Colombia,2003,0.021934634,0.01,0.0,0.0058253147
Colombia,2004,0.020496003,0.01,0.0,0.007052876
Colombia,2005,0.020267531,0.01,0.0,0.008377651
Colombia,2006,0.018964536,0.01,0.0,0.0
Colombia,2007,0.018450184,0.01,0.0,0.0
Colombia,2008,0.018198362,0.01,0.0,0.0
Colombia,2009,0.017905103,0.01,0.0,0.0
Colombia,2010,0.017661603,0.01,0.0,0.0
Colombia,2011,0.016972166,0.01,0.0,0.0
Colombia,2012,0.016520733,0.01,0.0,0.0
Colombia,2013,0.013850416,0.01,0.0,0.0
Colombia,2014,0.014478066,0.01,0.0,0.0
Colombia,2015,0.0131216375,0.01,0.0,0.0
Colombia,2016,0.013413816,0.01,0.0,0.0
Colombia,2017,0.012909889,0.01,0.0,0.0026094727
Colombia,2018,0.025255714,0.02,0.0,0.006106545
Colombia,2019,0.16636805,0.13,0.0,0.0649473
Colombia,2020,0.24630542,0.19,0.0,0.10406679
Colombia,2021,0.39550117,0.32,0.0,0.15540227
